genero,plataforma,idioma,dia_lanzamiento,anno_lanzamiento,duracion_seg,tempo_bpm,energia,valencia,bailabilidad,instrumentalidad,loudness_db,popularidad_artista,num_colaboraciones,semanas_en_charts,reproducciones_millones,gastos_produccion_usd,sello_discografico,streams_categoria
Electronica,Apple Music,Ingles,Jueves,2014,217,74,0.635,0.633,0.425,0.099,-2.2,77,0,49,2.75,429861.0,Warner,0
Pop,Apple Music,Ingles,Domingo,2013,267,105,0.797,0.129,0.889,0.014,-5.4,76,1,31,20.71,321172.0,Sony,3
Hip-Hop,YouTube Music,Espanol,Domingo,2021,195,89,0.313,0.336,0.422,0.41,-7.3,88,0,3,10.79,227728.0,,0
Hip-Hop,Apple Music,Coreano,Jueves,2012,185,113,0.967,0.728,0.6,0.101,-8.6,30,0,50,5.51,470235.0,Sony,1
Hip-Hop,Spotify,Ingles,Miercoles,2014,295,145,0.586,0.492,0.691,0.062,-7.8,90,1,34,7.56,14623.0,Universal,3
Pop,Spotify,Espanol,Martes,2018,245,76,0.903,0.602,0.813,0.539,-9.9,19,1,23,4.18,309476.0,Universal,1
Cumbia,YouTube Music,Ingles,Viernes,2023,257,126,0.355,0.467,0.593,0.209,-6.4,84,0,13,9.8,178027.0,Sony,2
Metal,Apple Music,Ingles,Sabado,2016,292,109,0.719,0.599,0.567,0.125,-11.3,50,1,17,2.41,,Warner,1
Reggaeton,Spotify,Espanol,Lunes,2011,228,104,0.778,0.367,0.426,0.265,-12.6,28,2,18,12.56,254259.0,,3
Jazz,YouTube Music,Frances,Viernes,2023,232,133,0.657,0.48,0.733,0.117,-8.2,54,3,2,8.77,70739.0,Sony,2
R&B,Apple Music,Espanol,Martes,2017,219,77,0.686,0.818,0.575,0.006,-2.8,93,0,27,1.08,,Universal,1
Pop,YouTube Music,Ingles,Jueves,2023,263,98,0.654,0.247,0.34,0.218,-0.0,68,0,37,3.55,422172.0,Independiente,1
Rock,Tidal,Ingles,Viernes,2012,194,94,0.641,0.729,0.57,0.017,<null>,15,0,14,6.53,31611.0,Warner,0
Reggaeton,YouTube Music,Espanol,Jueves,2018,182,82,0.716,0.426,0.293,0.172,-11.2,84,0,27,25.13,271166.0,Sony,3
Clasica,YouTube Music,Portugues,Sabado,2018,244,125,0.824,0.552,0.5,0.153,-6.0,90,0,28,1.83,80252.0,Sony,2
Pop,Spotify,Ingles,Miercoles,2011,211,116,0.427,0.683,0.342,0.027,-1.8,82,1,14,0.56,56676.0,Sony,0
Cumbia,Apple Music,Portugues,Miercoles,2012,209,127,0.78,0.451,0.582,0.239,<null>,8,0,32,0.03,161478.0,Warner,0
Hip-Hop,YouTube Music,Ingles,Sabado,2020,176,129,0.83,0.525,0.844,0.154,-5.0,65,0,21,13.97,,Universal,3
Hip-Hop,Apple Music,Coreano,Sabado,2022,140,138,0.585,0.697,0.68,0.582,-10.5,95,0,45,2.3,96843.0,Warner,2
Rock,Apple Music,Espanol,Martes,2011,145,124,0.662,0.335,0.727,0.24,-11.3,15,0,16,1.1,255517.0,Independiente,0
Pop,Tidal,Ingles,Sabado,2010,246,108,0.569,0.074,0.639,0.121,-3.9,66,0,26,0.53,474076.0,Sony,1
Clasica,Spotify,Coreano,Viernes,2022,159,127,0.396,0.703,0.762,0.092,-4.2,71,0,51,2.49,185323.0,Independiente,1
Cumbia,Spotify,Espanol,Miercoles,2012,248,112,0.772,0.782,0.783,0.256,-12.9,44,0,0,8.38,63757.0,Universal,1
Hip-Hop,YouTube Music,Espanol,Sabado,2012,313,137,0.528,0.766,0.627,0.081,-6.9,86,1,51,0.92,227612.0,Independiente,2
Cumbia,YouTube Music,Coreano,Martes,2014,257,137,0.092,0.637,0.596,0.199,-7.2,17,0,3,3.71,51570.0,Warner,0
Clasica,Tidal,Coreano,Domingo,2013,225,100,0.437,0.303,0.814,0.16,<null>,94,0,44,7.87,478478.0,Sony,3
Reggaeton,YouTube Music,Portugues,Martes,2023,222,86,0.792,0.612,0.534,0.235,-12.5,49,1,27,6.36,,Universal,2
Electronica,YouTube Music,Ingles,Domingo,2022,164,101,0.639,0.774,0.61,0.052,-0.6,28,3,44,22.31,356464.0,Warner,2
Hip-Hop,YouTube Music,Ingles,Domingo,2021,246,145,0.482,0.397,0.37,0.247,-4.3,68,0,31,7.91,374126.0,Universal,1
Reggaeton,Spotify,Espanol,Martes,2011,306,160,0.712,0.377,0.857,0.151,<null>,79,0,34,2.36,24393.0,Universal,3
Pop,YouTube Music,Ingles,Viernes,2010,154,83,0.797,0.5,0.567,0.128,-9.5,42,1,12,7.06,112503.0,Independiente,2
Jazz,Spotify,Ingles,Sabado,2021,223,138,0.187,0.731,0.643,0.028,-0.7,77,0,28,4.54,489224.0,Independiente,1
Pop,Spotify,Espanol,Viernes,2016,204,102,0.906,0.835,0.803,0.001,-10.9,52,0,31,5.44,471009.0,Universal,2
Clasica,Spotify,Ingles,Martes,2020,235,106,0.598,0.388,0.869,0.276,-6.2,99,0,19,8.39,119559.0,Warner,2
Clasica,Spotify,Ingles,Lunes,2022,205,142,0.842,0.298,0.688,0.393,-8.2,36,0,2,1.99,282807.0,Universal,0
Rock,Spotify,Ingles,Domingo,2016,279,125,0.471,0.886,0.2,0.007,-8.6,70,0,22,2.67,290087.0,Independiente,0
Rock,Spotify,Ingles,Domingo,2016,219,138,0.455,0.202,0.78,0.222,-8.5,66,0,30,37.57,132525.0,Universal,3
Reggaeton,Spotify,Frances,Sabado,2016,246,109,0.867,0.656,0.453,0.064,2.4,40,1,49,0.5,374826.0,Warner,2
Reggaeton,Spotify,Ingles,Sabado,2010,252,140,0.724,0.747,0.454,0.128,-12.4,15,0,18,10.96,250799.0,Independiente,1
Rock,Apple Music,Ingles,Viernes,2015,215,112,0.331,0.724,0.648,0.41,-7.6,65,1,31,14.77,45247.0,Independiente,2
Reggaeton,YouTube Music,Ingles,Viernes,2023,189,118,0.75,0.442,0.605,<null>,-18.2,76,0,4,4.4,,Warner,1
Rock,Tidal,Espanol,Lunes,2019,205,129,0.885,0.235,0.655,0.189,-9.3,68,1,35,2.17,492389.0,Warner,1
Pop,YouTube Music,Ingles,Viernes,2014,243,110,0.515,0.562,0.451,0.225,-11.0,73,0,7,14.41,239863.0,Sony,1
Pop,Apple Music,Ingles,Viernes,2017,264,158,0.682,0.487,0.318,0.036,-10.7,49,0,50,3.95,117050.0,Sony,1
Pop,YouTube Music,Ingles,Sabado,2014,201,100,0.466,0.144,0.972,0.035,-7.3,10,1,5,1.85,432648.0,Warner,0
Clasica,Spotify,Frances,Miercoles,2011,251,132,0.974,0.405,0.591,0.414,-4.9,36,1,6,0.6,,Independiente,1
Cumbia,Spotify,Ingles,Lunes,2011,179,108,0.674,0.192,0.497,0.242,-8.5,79,0,3,4.97,333592.0,Warner,1
Hip-Hop,YouTube Music,Espanol,Domingo,2021,140,134,0.582,0.621,0.755,0.192,-11.4,4,1,5,12.56,418231.0,Universal,1
Reggaeton,YouTube Music,Ingles,Miercoles,2020,211,121,0.805,0.126,0.394,0.025,-5.4,59,0,39,29.97,61937.0,Sony,3
Pop,YouTube Music,Portugues,Sabado,2013,155,134,0.356,0.937,0.681,0.352,-2.7,4,1,49,4.74,14169.0,Independiente,0
Reggaeton,YouTube Music,Ingles,Lunes,2013,248,99,0.636,0.81,0.833,0.079,-9.8,55,1,32,19.37,210831.0,Universal,3
Pop,Spotify,Frances,Lunes,2019,239,119,0.811,0.625,0.786,0.432,-0.7,84,0,11,3.77,476361.0,Sony,3
Electronica,Tidal,Ingles,Lunes,2019,283,112,0.753,0.525,0.628,0.253,-7.4,8,0,13,5.36,342541.0,Universal,0
Cumbia,YouTube Music,Espanol,Viernes,2020,237,103,0.311,0.802,0.774,0.559,-9.2,91,0,38,4.0,457390.0,Independiente,2
Pop,YouTube Music,Espanol,Martes,2019,272,110,0.782,0.687,0.686,0.201,-16.6,91,2,37,0.67,86212.0,Independiente,2
Metal,YouTube Music,Ingles,Jueves,2016,305,111,0.662,0.376,0.752,0.104,-10.6,35,0,10,2.47,382552.0,Warner,0
Pop,Spotify,Espanol,Martes,2011,178,119,0.723,0.508,0.628,0.286,-7.2,56,1,41,9.52,,Sony,2
Hip-Hop,Spotify,Ingles,Viernes,2024,175,110,0.687,0.187,0.417,0.204,-4.9,20,0,50,16.84,102879.0,Universal,3
Pop,Spotify,Portugues,Viernes,2019,218,97,0.59,0.201,0.177,0.043,-6.1,47,2,38,1.94,423661.0,Sony,1
Hip-Hop,Spotify,Ingles,Domingo,2011,179,135,0.63,0.564,0.806,0.036,-6.5,28,0,46,2.26,434920.0,Universal,1
Pop,Spotify,Ingles,Domingo,2012,202,115,0.635,0.742,0.506,0.0,-10.8,76,0,49,1.19,235161.0,Universal,1
Hip-Hop,Apple Music,Ingles,Jueves,2020,138,110,0.929,0.544,0.848,0.007,-14.8,50,0,13,2.99,383272.0,Warner,1
Hip-Hop,Tidal,Espanol,Viernes,2013,209,115,0.79,0.754,0.881,0.147,0.3,51,0,18,4.54,294941.0,Independiente,1
Rock,Tidal,Ingles,Lunes,2021,188,119,0.853,0.794,0.527,<null>,-10.5,73,0,14,2.8,291136.0,Sony,0
Electronica,YouTube Music,Ingles,Miercoles,2022,201,86,0.678,0.264,0.275,0.174,<null>,67,0,31,13.05,39675.0,Universal,0
Cumbia,Spotify,Ingles,Miercoles,2014,234,60,0.709,0.656,0.858,0.087,-10.2,0,1,43,1.16,475692.0,Warner,0
Hip-Hop,Spotify,Espanol,Lunes,2013,228,150,0.61,0.506,0.707,0.422,-1.8,100,0,6,4.5,163558.0,Sony,2
Pop,YouTube Music,Portugues,Domingo,2010,226,115,0.261,0.555,0.533,0.069,-11.8,17,0,30,1.4,451995.0,Independiente,0
Rock,Spotify,Ingles,Martes,2014,186,120,0.788,0.479,0.83,0.111,-4.6,59,3,34,20.13,,Warner,3
R&B,YouTube Music,Espanol,Miercoles,2023,229,136,0.634,0.197,0.488,0.047,-6.3,69,0,32,19.89,313910.0,Sony,3
Reggaeton,Tidal,Frances,Lunes,2016,204,99,0.689,0.804,0.424,0.1,-12.8,46,0,41,1.46,77688.0,Universal,1
Hip-Hop,Spotify,Portugues,Martes,2016,198,96,0.595,0.618,0.586,0.032,-0.8,97,0,23,23.06,323274.0,Universal,3
Pop,YouTube Music,Ingles,Sabado,2023,237,125,0.44,0.466,0.888,0.041,-11.5,74,0,5,0.94,390339.0,Sony,1
Hip-Hop,Spotify,Ingles,Miercoles,2010,231,124,0.31,0.495,0.782,0.165,-5.2,80,3,7,5.99,254960.0,Independiente,1
Rock,YouTube Music,Coreano,Lunes,2024,229,112,0.787,0.501,0.616,0.2,-8.8,16,3,36,1.51,381774.0,Sony,0
Cumbia,Spotify,Portugues,Miercoles,2012,192,120,0.789,0.611,0.613,0.011,-8.4,11,1,1,0.35,165390.0,Warner,0
R&B,Spotify,Ingles,Miercoles,2023,187,129,0.437,0.97,0.913,0.314,-13.4,73,0,10,4.5,410733.0,Universal,1
Pop,YouTube Music,Ingles,Miercoles,2019,165,74,0.742,0.282,0.776,0.288,-0.5,0,0,0,1.89,,Sony,0
Reggaeton,YouTube Music,Espanol,Jueves,2014,245,109,0.541,0.649,0.556,0.057,-6.9,51,0,15,0.31,393302.0,Sony,0
Rock,YouTube Music,Espanol,Martes,2023,235,115,0.729,0.566,0.638,0.194,-4.5,49,0,9,6.62,435208.0,Warner,0
Hip-Hop,Apple Music,Espanol,Miercoles,2016,239,70,0.525,0.651,0.826,0.007,<null>,20,0,42,6.54,69245.0,Universal,0
R&B,YouTube Music,Espanol,Domingo,2010,140,109,0.684,0.652,0.308,0.126,-9.7,29,1,49,10.78,27229.0,Universal,2
Reggaeton,YouTube Music,Ingles,Domingo,2015,211,111,0.693,0.449,0.406,<null>,-7.0,23,0,15,10.23,289704.0,Independiente,0
Rock,Deezer,Espanol,Domingo,2010,149,84,0.662,0.306,0.872,0.062,-6.8,100,0,7,19.0,,Warner,3
Rock,Tidal,Portugues,Lunes,2021,163,161,0.714,0.681,0.584,0.361,-8.8,16,1,43,3.02,384626.0,,0
Clasica,YouTube Music,Ingles,Jueves,2024,267,116,0.226,0.671,0.462,0.252,-11.1,55,0,6,13.25,44758.0,Universal,0
Electronica,YouTube Music,Ingles,Viernes,2013,170,158,0.857,0.701,0.497,0.049,-11.9,28,1,46,0.05,15457.0,Universal,0
Hip-Hop,Apple Music,Espanol,Viernes,2016,189,85,0.321,0.905,0.716,0.134,<null>,64,0,40,6.8,,Independiente,2
Rock,Spotify,Ingles,Martes,2018,192,95,0.49,0.617,0.388,0.058,-2.1,17,3,23,1.29,111751.0,Universal,0
Rock,Spotify,Espanol,Lunes,2017,174,85,0.216,0.637,0.593,0.05,-4.5,62,0,49,8.33,92038.0,Universal,1
Cumbia,YouTube Music,Ingles,Domingo,2012,170,129,0.691,0.821,0.796,0.028,-7.7,46,1,10,0.85,31865.0,Universal,0
Reggaeton,YouTube Music,Ingles,Jueves,2020,139,128,0.5,0.136,0.476,0.208,-6.4,20,0,21,0.83,328714.0,Sony,0
Hip-Hop,YouTube Music,Ingles,Domingo,2012,164,129,0.783,0.349,0.769,0.389,2.3,27,2,12,25.97,94476.0,,2
Reggaeton,Apple Music,Ingles,Lunes,2018,217,93,0.27,0.842,0.334,0.497,-6.7,53,1,14,5.99,482793.0,Independiente,1
Metal,Spotify,Ingles,Jueves,2010,182,149,0.613,0.213,0.727,0.099,-4.7,38,0,30,2.96,,Universal,1
Rock,Spotify,Portugues,Sabado,2018,183,150,0.48,0.186,0.475,0.001,-1.8,52,2,51,3.84,380571.0,Independiente,2
Pop,Apple Music,Espanol,Sabado,2018,108,145,0.408,0.349,0.376,0.219,-4.1,41,1,51,6.65,167753.0,Warner,1
Reggaeton,Apple Music,Coreano,Sabado,2018,183,97,0.539,0.673,0.685,0.163,-9.3,29,0,48,4.72,68063.0,Warner,0
Electronica,Tidal,Ingles,Jueves,2013,295,148,0.814,0.31,0.588,0.159,-2.4,58,0,21,10.82,287069.0,Independiente,1
Jazz,Spotify,Ingles,Domingo,2014,179,134,0.577,0.54,0.498,0.278,0.6,73,0,10,12.11,83530.0,Warner,1
R&B,Apple Music,Ingles,Viernes,2019,242,114,0.345,0.133,0.717,0.279,-3.3,8,0,11,6.35,,Independiente,0
Hip-Hop,Spotify,Ingles,Sabado,2023,178,97,0.851,0.578,0.879,0.08,-9.6,13,3,14,14.11,273900.0,Universal,2
Pop,Deezer,Coreano,Domingo,2024,225,115,0.221,0.247,0.927,0.671,-10.4,65,0,40,2.47,232187.0,Independiente,1
Cumbia,Tidal,Espanol,Martes,2018,272,142,0.775,0.572,0.65,0.129,-14.0,93,0,39,6.17,438695.0,Warner,2
Hip-Hop,Apple Music,Ingles,Martes,2015,208,130,0.386,0.059,0.627,0.1,-3.8,44,3,41,22.21,276079.0,Warner,3
Electronica,Deezer,Espanol,Lunes,2013,190,105,0.732,0.319,0.207,0.163,-14.9,26,0,42,2.61,440393.0,Independiente,0
Electronica,Apple Music,Espanol,Jueves,2020,213,118,0.65,0.627,0.725,0.167,-13.7,43,0,10,7.85,29112.0,Warner,1
Reggaeton,Spotify,Ingles,Domingo,2010,170,93,0.553,0.376,0.506,0.015,-3.9,42,0,26,1.19,323959.0,Independiente,0
Rock,Apple Music,Espanol,Sabado,2014,215,118,0.656,0.57,0.79,0.158,-5.3,97,0,36,13.72,436040.0,Sony,3
Metal,Spotify,Frances,Jueves,2020,206,83,0.562,0.7,0.783,<null>,-6.6,59,3,2,6.54,315063.0,Warner,1
Clasica,YouTube Music,Ingles,Miercoles,2016,221,106,0.47,0.567,0.845,0.098,0.4,56,0,11,11.73,26949.0,Sony,1
Reggaeton,Deezer,Ingles,Martes,2022,124,146,0.526,0.516,0.801,0.033,-1.7,0,0,22,3.57,39505.0,Universal,0
Reggaeton,YouTube Music,Espanol,Jueves,2013,211,156,0.999,0.15,0.421,0.126,-3.5,64,0,0,6.68,92431.0,Universal,0
Pop,Spotify,Espanol,Lunes,2013,233,110,0.445,0.316,0.769,0.076,-16.5,34,1,10,6.63,25812.0,Sony,0
Pop,Spotify,Coreano,Sabado,2014,208,130,0.896,0.559,0.887,0.041,-16.4,18,0,51,17.32,107711.0,Warner,3
Rock,Spotify,Ingles,Viernes,2020,245,186,0.884,0.217,0.984,0.099,-11.5,34,0,3,7.29,127734.0,Independiente,2
Rock,Spotify,Espanol,Sabado,2021,171,161,0.453,0.53,0.605,0.149,-10.9,57,1,45,2.36,300574.0,Sony,2
Cumbia,Spotify,Espanol,Viernes,2019,181,110,0.091,0.33,0.746,0.006,-7.6,26,1,44,4.35,205086.0,Universal,1
Metal,Apple Music,Espanol,Martes,2024,233,94,0.508,0.308,0.675,0.072,-6.2,37,0,19,9.95,157099.0,Sony,1
Electronica,YouTube Music,Espanol,Sabado,2018,243,118,0.639,0.171,0.559,0.143,2.8,81,1,36,6.11,450180.0,Universal,1
Reggaeton,YouTube Music,Portugues,Martes,2024,262,163,0.635,0.251,0.649,0.046,-3.4,95,3,37,12.21,210822.0,Sony,3
Pop,Spotify,Ingles,Miercoles,2021,218,96,0.203,0.806,0.733,0.104,-10.8,95,2,23,4.83,301973.0,Independiente,2
Cumbia,Spotify,Ingles,Domingo,2022,135,77,0.59,0.464,0.957,0.176,-7.7,28,1,10,43.83,457173.0,Universal,3
Hip-Hop,Spotify,Frances,Martes,2011,256,130,0.594,0.915,0.839,0.017,<null>,63,0,19,12.8,335823.0,Sony,3
Pop,Spotify,Espanol,Jueves,2024,222,122,0.636,0.201,0.568,0.032,-10.1,6,1,5,6.35,324648.0,Universal,0
Reggaeton,Spotify,Ingles,Jueves,2019,218,122,0.725,0.303,0.2,0.164,-8.3,8,0,47,6.03,484010.0,Independiente,0
R&B,Spotify,Ingles,Jueves,2012,272,117,0.579,0.226,0.164,0.094,-8.7,33,1,42,3.75,4513.0,,0
R&B,YouTube Music,Espanol,Domingo,2011,239,115,0.382,0.237,0.666,0.079,-14.1,79,0,49,3.58,320973.0,Universal,2
Pop,Tidal,Ingles,Jueves,2014,244,93,0.785,0.283,0.792,0.389,-3.9,64,1,4,25.52,110418.0,Warner,3
R&B,Apple Music,Ingles,Miercoles,2019,128,126,0.57,0.11,0.738,0.097,-8.4,44,1,18,3.38,379309.0,,0
Rock,YouTube Music,Ingles,Martes,2024,190,118,0.766,0.388,0.267,0.251,-12.6,39,0,5,6.05,239523.0,,0
Pop,Spotify,Ingles,Martes,2022,249,161,0.88,0.532,0.578,0.15,-5.7,55,0,14,7.72,138180.0,,3
R&B,Tidal,Ingles,Martes,2011,207,112,0.716,0.24,0.641,0.041,-11.6,94,2,39,6.85,,Sony,2
R&B,Spotify,Ingles,Domingo,2016,229,120,0.796,0.375,0.288,0.462,-9.7,6,2,46,10.41,192055.0,Universal,1
Reggaeton,Spotify,Espanol,Miercoles,2010,218,86,0.91,0.544,0.864,0.17,-12.8,99,0,25,6.11,80909.0,Independiente,3
Reggaeton,Spotify,Espanol,Miercoles,2016,249,94,0.314,0.528,0.452,0.45,-8.1,31,0,24,2.3,301268.0,Sony,0
Clasica,Spotify,Ingles,Jueves,2011,158,131,0.902,0.711,0.732,0.053,-1.2,35,2,36,6.78,4720.0,Warner,2
Metal,Apple Music,Espanol,Sabado,2018,143,160,0.637,0.883,0.765,0.313,-4.1,8,0,31,4.38,95402.0,Universal,0
R&B,Deezer,Frances,Miercoles,2015,201,123,0.67,0.698,0.222,0.012,-11.5,69,2,26,2.2,478785.0,Independiente,1
Reggaeton,YouTube Music,Portugues,Miercoles,2017,224,112,0.612,0.518,0.538,0.15,-15.1,82,0,47,0.8,382895.0,Warner,2
Cumbia,Spotify,Espanol,Lunes,2019,189,82,0.673,0.655,0.343,0.212,-12.1,72,0,48,11.62,81388.0,Warner,2
Cumbia,Apple Music,Portugues,Jueves,2019,207,121,0.571,0.673,0.926,0.233,-10.8,91,1,26,10.98,,Warner,3
Pop,YouTube Music,Ingles,Jueves,2014,154,144,0.583,0.176,0.749,0.222,-8.6,72,0,9,32.71,325641.0,Warner,3
R&B,YouTube Music,Espanol,Lunes,2014,158,104,0.435,0.544,0.671,0.37,-0.5,19,0,28,4.29,179893.0,Sony,0
Reggaeton,YouTube Music,Ingles,Martes,2022,181,104,0.845,0.661,0.534,0.1,-3.0,18,1,45,7.57,,,2
Hip-Hop,Apple Music,Ingles,Sabado,2021,244,97,0.869,0.204,0.712,0.342,-4.4,64,0,32,27.21,458545.0,Universal,3
Electronica,YouTube Music,Espanol,Domingo,2011,227,137,0.713,0.28,0.671,<null>,0.5,26,0,25,11.27,91355.0,Universal,1
Pop,YouTube Music,Espanol,Lunes,2017,238,118,0.691,0.238,0.694,0.024,-8.9,86,0,36,2.67,267738.0,Warner,2
Reggaeton,Spotify,Espanol,Lunes,2010,246,110,0.443,0.503,0.776,0.173,-10.2,1,2,9,3.06,114532.0,Warner,0
R&B,Spotify,Espanol,Sabado,2022,306,131,0.86,0.295,0.42,0.144,-6.5,100,3,34,9.45,174676.0,,3
Rock,YouTube Music,Espanol,Domingo,2012,149,104,0.438,0.692,0.456,0.17,-1.6,87,0,22,26.64,42070.0,Warner,3
Hip-Hop,Tidal,Ingles,Sabado,2016,175,93,0.798,0.956,0.523,0.011,<null>,63,1,7,0.55,41657.0,Independiente,0
Cumbia,Apple Music,Espanol,Domingo,2016,263,123,0.843,0.925,0.647,0.049,-9.7,47,1,42,0.51,275419.0,Universal,1
Hip-Hop,Deezer,Espanol,Lunes,2015,202,113,0.491,0.276,0.52,0.039,-7.7,70,0,19,0.31,398534.0,Independiente,0
Hip-Hop,Spotify,Espanol,Miercoles,2019,229,119,0.881,0.162,0.74,0.042,-14.0,19,1,34,17.23,174985.0,Sony,3
Hip-Hop,Apple Music,Portugues,Lunes,2016,162,147,0.717,0.464,0.649,0.07,-2.7,56,0,12,7.54,422586.0,Warner,1
Reggaeton,Spotify,Ingles,Viernes,2011,222,130,0.473,0.271,0.345,0.181,-8.5,10,2,47,7.91,291724.0,Independiente,1
Electronica,Deezer,Ingles,Lunes,2014,251,94,0.704,0.336,0.745,0.206,-5.2,84,0,7,8.8,230679.0,Independiente,2
Clasica,Spotify,Ingles,Martes,2024,204,116,0.325,0.075,0.265,0.17,-9.5,38,0,38,8.82,487668.0,Universal,0
Hip-Hop,Apple Music,Portugues,Martes,2018,227,109,0.733,0.824,0.815,0.025,-11.5,34,0,37,27.07,20975.0,Warner,3
Clasica,Spotify,Ingles,Sabado,2013,221,111,0.484,0.361,0.748,0.026,-4.3,37,1,42,2.02,309984.0,Universal,0
Reggaeton,Apple Music,Espanol,Domingo,2015,242,93,0.781,0.842,0.522,0.025,-0.9,100,2,35,6.22,,Sony,3
Rock,Tidal,Espanol,Martes,2024,174,110,0.683,0.717,0.461,0.039,-4.9,43,0,6,6.47,,Independiente,1
Electronica,Spotify,Espanol,Lunes,2010,144,102,0.857,0.516,0.559,0.232,-5.4,68,0,15,1.18,145036.0,,2
Jazz,YouTube Music,Ingles,Jueves,2013,226,109,0.577,0.92,0.79,0.005,-7.2,63,1,23,2.64,357542.0,Sony,1
Reggaeton,Tidal,Espanol,Martes,2013,245,118,0.752,0.895,0.725,0.232,-7.4,27,0,41,2.06,247385.0,Sony,1
Pop,Spotify,Espanol,Lunes,2010,286,111,0.633,0.447,0.843,0.146,-8.8,46,0,8,9.53,213646.0,Universal,1
Pop,YouTube Music,Ingles,Martes,2010,214,84,0.519,0.455,0.655,0.081,-12.3,76,1,49,1.57,476931.0,Independiente,3
Rock,Spotify,Ingles,Miercoles,2020,180,107,0.812,0.914,0.615,0.157,-9.0,37,1,42,3.95,452620.0,Universal,2
Rock,Spotify,Ingles,Miercoles,2017,204,105,0.749,0.573,0.777,0.4,-6.6,3,0,1,3.78,175743.0,Sony,0
Electronica,YouTube Music,Ingles,Lunes,2013,208,131,0.731,0.429,0.128,0.072,-7.7,83,0,8,3.15,381004.0,Universal,0
Pop,YouTube Music,Coreano,Martes,2010,200,124,0.667,0.542,0.439,0.2,-8.3,49,1,45,2.26,4773.0,Universal,1
Metal,Spotify,Coreano,Martes,2013,225,131,0.41,0.239,0.9,0.092,-6.2,53,2,26,6.88,462172.0,,1
Rock,Spotify,Portugues,Viernes,2011,296,123,0.669,0.863,0.757,0.173,-8.3,71,0,43,2.26,380306.0,Sony,2
Rock,Tidal,Coreano,Domingo,2014,261,119,0.801,0.487,0.834,0.259,-10.0,61,0,5,12.61,47781.0,Universal,2
Reggaeton,YouTube Music,Espanol,Sabado,2022,145,117,0.611,0.608,0.372,0.361,-5.2,32,0,2,12.01,254059.0,Universal,0
Rock,Spotify,Portugues,Sabado,2022,209,140,0.292,0.468,0.346,0.053,-3.6,30,0,17,14.17,322824.0,Universal,0
R&B,Apple Music,Espanol,Martes,2018,145,146,0.653,0.071,0.725,0.014,-11.9,59,0,36,7.12,10702.0,Sony,1
Pop,Spotify,Ingles,Jueves,2024,181,126,0.446,0.743,0.837,0.093,-5.8,67,0,19,5.04,138318.0,Independiente,1
Hip-Hop,Spotify,Ingles,Miercoles,2021,177,129,0.744,0.39,0.789,0.007,-6.6,36,0,35,12.02,239169.0,Independiente,1
R&B,Apple Music,Espanol,Martes,2019,204,94,0.864,0.179,0.8,0.089,-2.1,79,1,30,0.22,194349.0,Universal,2
Electronica,Apple Music,Coreano,Domingo,2023,202,112,0.553,0.781,0.521,0.008,-4.0,61,1,51,6.49,443356.0,,1
Rock,Spotify,Espanol,Jueves,2016,203,114,0.311,0.529,0.728,0.066,-5.7,73,0,3,4.3,355840.0,Independiente,0
Hip-Hop,YouTube Music,Portugues,Sabado,2023,278,107,0.475,0.558,0.514,0.171,-4.2,95,0,48,2.12,192162.0,Universal,2
Jazz,Spotify,Ingles,Domingo,2024,251,153,0.553,0.404,0.355,0.122,3.9,80,1,40,1.45,,Universal,1
Cumbia,Apple Music,Espanol,Lunes,2013,201,122,0.788,0.324,0.748,0.044,-8.2,99,1,32,1.82,191901.0,Independiente,2
R&B,Spotify,Ingles,Miercoles,2011,224,114,0.307,0.541,0.914,0.208,<null>,16,0,49,3.7,354174.0,Sony,1
Rock,Apple Music,Espanol,Lunes,2015,274,91,0.355,0.817,0.472,0.315,-10.6,63,1,20,13.12,484260.0,Sony,1
Cumbia,Spotify,Coreano,Sabado,2021,154,131,0.428,0.762,0.844,0.221,<null>,10,3,34,5.22,,Independiente,1
Pop,YouTube Music,Coreano,Sabado,2019,206,128,0.641,0.054,0.252,0.384,-3.5,90,0,25,4.92,158233.0,Independiente,1
Pop,Apple Music,Ingles,Martes,2023,224,103,0.71,0.196,0.406,0.212,-13.6,84,1,12,6.41,245519.0,Sony,2
Clasica,Spotify,Portugues,Lunes,2017,177,107,0.507,0.04,0.752,0.031,<null>,63,2,33,0.62,100263.0,Sony,1
Pop,Spotify,Espanol,Sabado,2018,149,106,0.832,0.682,0.556,0.012,-2.9,99,0,18,8.87,37084.0,Universal,3
Pop,Apple Music,Ingles,Domingo,2023,188,123,0.491,0.511,0.627,0.031,-7.9,44,0,41,9.43,326290.0,Independiente,1
Rock,Spotify,Espanol,Miercoles,2022,199,109,0.693,0.629,0.858,0.02,-16.9,95,0,3,2.76,345804.0,Independiente,2
Hip-Hop,Apple Music,Ingles,Lunes,2011,249,96,0.239,0.756,0.479,0.021,-2.9,39,1,18,3.47,351405.0,Universal,0
Metal,Apple Music,Espanol,Domingo,2024,138,155,0.452,0.404,0.589,0.108,-4.0,45,0,10,8.11,,,0
Electronica,YouTube Music,Ingles,Lunes,2024,226,122,0.479,0.657,0.363,0.006,-3.5,3,3,12,20.12,375153.0,Universal,1
Rock,Deezer,Ingles,Lunes,2021,194,92,0.628,0.919,0.781,0.531,-13.1,100,2,30,9.13,286605.0,Independiente,3
